zip,primary_state,population
33010,FL,43902
33011,FL,
33012,FL,70260
33013,FL,31068
33014,FL,40261
33015,FL,65645
33016,FL,45714
33017,FL,
33018,FL,54273
33019,FL,15497
33020,FL,45044
33021,FL,50091
33022,FL,18
33023,FL,66749
33024,FL,74843
33025,FL,75455
33026,FL,30510
33027,FL,63726
33028,FL,28140
33029,FL,46202
33030,FL,36776
33031,FL,6560
33032,FL,58727
33033,FL,66871
33034,FL,22850
33035,FL,18065
33036,FL,3541
33037,FL,13875
33039,FL,0
33040,FL,35958
33041,FL,
33042,FL,6841
33043,FL,4661
33045,FL,
33050,FL,10479
33051,FL,790
33052,FL,
33054,FL,30352
33055,FL,42950
33056,FL,36556
33060,FL,35793
33061,FL,
33062,FL,25293
33063,FL,56296
33064,FL,62429
33065,FL,59668
33066,FL,16845
33067,FL,27564
33068,FL,53137
33069,FL,28817
33070,FL,6220
33071,FL,40026
